timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol
5/5/2023,170.975,174.3,170.76,173.57,173.57,113453171,0,1,AAPL
5/4/2023,164.89,167.04,164.31,165.79,165.79,81235427,0,1,AAPL
5/3/2023,169.5,170.92,167.16,167.45,167.45,65136018,0,1,AAPL
5/2/2023,170.09,170.35,167.54,168.54,168.54,48425696,0,1,AAPL
5/1/2023,169.28,170.45,168.64,169.59,169.59,52472936,0,1,AAPL
4/28/2023,168.49,169.85,167.8801,169.68,169.68,55275851,0,1,AAPL
4/27/2023,165.19,168.56,165.19,168.41,168.41,64902329,0,1,AAPL
4/26/2023,163.055,165.28,162.8,163.76,163.76,44105745,0,1,AAPL
4/25/2023,165.19,166.305,163.73,163.77,163.77,48714063,0,1,AAPL
4/24/2023,165,165.6,163.89,165.33,165.33,41949581,0,1,AAPL
4/21/2023,165.05,166.4521,164.49,165.02,165.02,58337341,0,1,AAPL
4/20/2023,166.09,167.87,165.56,166.65,166.65,52456377,0,1,AAPL
4/19/2023,165.8,168.16,165.54,167.63,167.63,47720166,0,1,AAPL
4/18/2023,166.1,167.41,165.65,166.47,166.47,49923008,0,1,AAPL
4/17/2023,165.09,165.39,164.03,165.23,165.23,40713618,0,1,AAPL
4/14/2023,164.59,166.32,163.82,165.21,165.21,49386480,0,1,AAPL
4/13/2023,161.63,165.8,161.42,165.56,165.56,68445649,0,1,AAPL
4/12/2023,161.22,162.06,159.78,160.1,160.1,50133062,0,1,AAPL
4/11/2023,162.35,162.36,160.51,160.8,160.8,47644217,0,1,AAPL
4/10/2023,161.42,162.03,160.08,162.03,162.03,47716882,0,1,AAPL
4/6/2023,162.43,164.9584,162,164.66,164.66,45390123,0,1,AAPL
4/5/2023,164.74,165.05,161.8,163.76,163.76,51511744,0,1,AAPL
4/4/2023,166.595,166.84,165.11,165.63,165.63,46278295,0,1,AAPL
4/3/2023,164.27,166.29,164.22,166.17,166.17,56976187,0,1,AAPL
3/31/2023,162.44,165,161.91,164.9,164.9,68749792,0,1,AAPL
3/30/2023,161.53,162.47,161.271,162.36,162.36,49501689,0,1,AAPL
3/29/2023,159.37,161.05,159.35,160.77,160.77,51305691,0,1,AAPL
3/28/2023,157.97,158.49,155.98,157.65,157.65,45992152,0,1,AAPL
3/27/2023,159.94,160.77,157.87,158.28,158.28,52390266,0,1,AAPL
3/24/2023,158.86,160.34,157.85,160.25,160.25,59256343,0,1,AAPL
3/23/2023,158.83,161.5501,157.68,158.93,158.93,67622060,0,1,AAPL
3/22/2023,159.3,162.14,157.81,157.83,157.83,75701811,0,1,AAPL
3/21/2023,157.32,159.4,156.54,159.28,159.28,73938285,0,1,AAPL
3/20/2023,155.07,157.82,154.15,157.4,157.4,73641415,0,1,AAPL
3/17/2023,156.08,156.74,154.28,155,155,98944633,0,1,AAPL
3/16/2023,152.16,156.46,151.64,155.85,155.85,76254419,0,1,AAPL
3/15/2023,151.19,153.245,149.92,152.99,152.99,77167866,0,1,AAPL
3/14/2023,151.28,153.4,150.1,152.59,152.59,73695893,0,1,AAPL
3/13/2023,147.805,153.14,147.7,150.47,150.47,84457122,0,1,AAPL
3/10/2023,150.21,150.94,147.6096,148.5,148.5,68572400,0,1,AAPL
3/9/2023,153.559,154.535,150.225,150.59,150.59,53833582,0,1,AAPL
3/8/2023,152.81,153.47,151.83,152.87,152.87,47204791,0,1,AAPL
3/7/2023,153.7,154.0299,151.13,151.6,151.6,56182028,0,1,AAPL
3/6/2023,153.785,156.3,153.46,153.83,153.83,87558028,0,1,AAPL
3/3/2023,148.045,151.11,147.33,151.03,151.03,70732297,0,1,AAPL
