fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,symbol
6/30/2014,7/31/2014,0.65,0.55,0.1,18.1818,AZN
3/31/2014,4/24/2014,0.59,0.62,-0.03,-4.8387,AZN
12/31/2013,2/6/2014,0.62,0.61,0.01,1.6393,AZN
9/30/2013,10/31/2013,0.61,0.63,-0.02,-3.1746,AZN
6/30/2013,8/1/2013,0.6,0.58,0.02,3.4483,AZN
3/31/2013,4/25/2013,0.71,0.67,0.04,5.9701,AZN
12/31/2012,1/31/2013,0.78,0.7,0.08,11.4286,AZN
9/30/2012,10/25/2012,0.76,0.74,0.02,2.7027,AZN
6/30/2012,7/26/2012,0.77,0.68,0.09,13.2353,AZN
3/31/2012,4/26/2012,0.91,0.89,0.02,2.2472,AZN
12/31/2011,2/6/2012,0.81,0.78,0.03,3.8462,AZN
9/30/2011,10/27/2011,0.86,0.84,0.02,2.381,AZN
6/30/2011,7/28/2011,0.87,0.91,-0.04,-4.3956,AZN
3/31/2011,4/28/2011,1.12,1.08,0.04,3.7037,AZN
12/31/2010,1/27/2011,0.7,0.67,0.03,4.4776,AZN
9/30/2010,10/28/2010,0.75,0.75,0,0,AZN
6/30/2010,7/29/2010,0.9,0.8,0.1,12.5,AZN
3/31/2010,4/29/2010,1.01,0.86,0.15,17.4419,AZN
12/31/2009,1/28/2010,0.71,0.76,-0.05,-6.5789,AZN
9/30/2009,10/29/2009,0.84,0.69,0.15,21.7391,AZN
6/30/2009,7/30/2009,0.82,0.7,0.12,17.1429,AZN
3/31/2009,4/30/2009,0.79,0.7,0.09,12.8571,AZN
12/31/2008,1/29/2009,0.63,0.58,0.05,8.6207,AZN
9/30/2008,10/30/2008,0.66,0.57,0.09,15.7895,AZN
6/30/2008,7/31/2008,0.63,0.54,0.09,16.6667,AZN
3/31/2008,4/24/2008,0.64,0.6,0.04,6.6667,AZN
12/31/2007,1/31/2008,0.55,0.47,0.08,17.0213,AZN
9/30/2007,11/1/2007,0.52,0.46,0.06,13.0435,AZN
6/30/2007,7/26/2007,0.6,0.52,0.08,15.3846,AZN
3/31/2007,4/23/2007,0.51,0.51,0,0,AZN
12/31/2006,2/1/2007,0.47,0.48,-0.01,-2.0833,AZN
9/30/2006,10/26/2006,0.51,0.49,0.02,4.0816,AZN
6/30/2006,7/27/2006,0.51,0.47,0.04,8.5106,AZN
3/31/2006,4/27/2006,0.45,0.4,0.05,12.5,AZN
12/31/2005,2/2/2006,0.39,0.37,0.02,5.4054,AZN
9/30/2005,10/27/2005,0.38,0.33,0.05,15.1515,AZN
6/30/2005,7/28/2005,0.38,0.28,0.1,35.7143,AZN
3/31/2005,4/28/2005,0.32,0.29,0.03,10.3448,AZN
12/31/2004,1/28/2005,0.3,0.29,0.01,3.4483,AZN
9/30/2004,10/25/2004,0.28,0.26,0.02,7.6923,AZN
6/30/2004,7/22/2004,0.25,0.24,0.01,4.1667,AZN
3/31/2004,4/29/2004,0.24,0.27,-0.03,-11.1111,AZN
12/31/2003,1/29/2004,0.19,0.2,-0.01,-5,AZN
9/30/2003,10/23/2003,0.24,0.17,0.07,41.1765,AZN
6/30/2003,7/24/2003,0.2,0.17,0.03,17.6471,AZN
3/31/2003,4/30/2003,0.27,0.21,0.06,28.5714,AZN
12/31/2002,1/30/2003,0.23,0.21,0.02,9.5238,AZN
9/30/2002,10/24/2002,0.2,0.18,0.02,11.1111,AZN
6/30/2002,7/25/2002,0.23,0.24,-0.01,-4.1667,AZN
3/31/2002,4/26/2002,0.28,0.24,0.04,16.6667,AZN
12/31/2001,1/31/2002,0.89,0.23,0.66,286.9565,AZN
9/30/2001,10/24/2001,0.24,0.21,0.03,14.2857,AZN
6/30/2001,7/26/2001,0.21,0.21,0,0,AZN
3/31/2001,3/31/2001,0.2188,None,None,None,AZN
12/31/2000,2/8/2001,0.21,0.21,0,0,AZN
9/30/2000,10/25/2000,0.19,0.23,-0.04,-17.3913,AZN
9/30/1999,10/29/1999,0.19,0.17,0.02,11.7647,AZN
6/30/1999,8/9/1999,0.41,0.26,0.15,57.6923,AZN
12/31/1998,2/17/1999,0.25,0.24,0.01,4.1667,AZN
3/31/2023,4/24/2023,1.71,1.55,0.16,10.3226,NVS
12/31/2022,1/31/2023,1.52,1.44,0.08,5.5556,NVS
9/30/2022,10/24/2022,1.58,1.55,0.03,1.9355,NVS
6/30/2022,7/18/2022,1.56,1.5,0.06,4,NVS
3/31/2022,4/25/2022,1.46,1.44,0.02,1.3889,NVS
12/31/2021,2/1/2022,1.4,1.41,-0.01,-0.7092,NVS
9/30/2021,10/25/2021,1.71,1.65,0.06,3.6364,NVS
6/30/2021,7/21/2021,1.66,1.53,0.13,8.4967,NVS
3/31/2021,4/26/2021,1.52,1.59,-0.07,-4.4025,NVS
12/31/2020,1/25/2021,1.34,1.36,-0.02,-1.4706,NVS
9/30/2020,10/26/2020,1.52,1.45,0.07,4.8276,NVS
6/30/2020,7/20/2020,1.36,1.31,0.05,3.8168,NVS
3/31/2020,4/28/2020,1.56,1.37,0.19,13.8686,NVS
12/31/2019,1/29/2020,1.32,1.29,0.03,2.3256,NVS
9/30/2019,10/22/2019,1.41,1.36,0.05,3.6765,NVS
6/30/2019,7/17/2019,1.34,1.22,0.12,9.8361,NVS
3/31/2019,4/23/2019,1.21,1.16,0.05,4.3103,NVS
12/31/2018,1/29/2019,1.25,1.28,-0.03,-2.3438,NVS
9/30/2018,10/17/2018,1.32,1.3,0.02,1.5385,NVS
6/30/2018,7/17/2018,1.29,1.27,0.02,1.5748,NVS
3/31/2018,4/18/2018,1.28,1.28,0,0,NVS
12/31/2017,1/23/2018,1.21,1.19,0.02,1.6807,NVS
9/30/2017,10/23/2017,1.29,1.25,0.04,3.2,NVS
6/30/2017,7/18/2017,1.21,1.19,0.02,1.6807,NVS
3/31/2017,4/24/2017,1.13,1.11,0.02,1.8018,NVS
12/31/2016,1/25/2017,1.11,1.11,0,0,NVS
9/30/2016,10/24/2016,1.23,1.19,0.04,3.3613,NVS
6/30/2016,7/19/2016,1.23,1.18,0.05,4.2373,NVS
3/31/2016,4/20/2016,1.16,1.18,-0.02,-1.6949,NVS
12/31/2015,1/27/2016,1.09,1.18,-0.09,-7.6271,NVS
9/30/2015,10/27/2015,1.27,1.31,-0.04,-3.0534,NVS
6/30/2015,7/21/2015,1.25,1.24,0.01,0.8065,NVS
3/31/2015,4/22/2015,1.29,1.1,0.19,17.2727,NVS
12/31/2014,1/26/2015,1.21,1.21,0,0,NVS
9/30/2014,10/28/2014,1.37,1.29,0.08,6.2016,NVS
6/30/2014,7/17/2014,1.34,1.4,-0.06,-4.2857,NVS
3/31/2014,4/24/2014,1.28,1.33,-0.05,-3.7594,NVS
12/31/2013,1/29/2014,1.19,1.26,-0.07,-5.5556,NVS
9/30/2013,10/22/2013,1.25,1.31,-0.06,-4.5802,NVS
6/30/2013,7/17/2013,1.3,1.29,0.01,0.7752,NVS
3/31/2013,4/24/2013,1.32,1.28,0.04,3.125,NVS
12/31/2012,1/23/2013,1.27,1.19,0.08,6.7227,NVS
9/30/2012,10/25/2012,1.34,1.36,-0.02,-1.4706,NVS
6/30/2012,7/19/2012,1.38,1.29,0.09,6.9767,NVS
3/31/2012,4/24/2012,1.27,1.32,-0.05,-3.7879,NVS
12/31/2011,1/25/2012,1.23,1.2,0.03,2.5,NVS
9/30/2011,10/25/2011,1.45,1.51,-0.06,-3.9735,NVS
6/30/2011,7/19/2011,1.48,1.4,0.08,5.7143,NVS
3/31/2011,4/19/2011,1.41,1.31,0.1,7.6336,NVS
12/31/2010,1/27/2011,1.14,1.25,-0.11,-8.8,NVS
9/30/2010,10/21/2010,1.27,1.2,0.07,5.8333,NVS
6/30/2010,7/15/2010,1.2,1.13,0.07,6.1947,NVS
3/31/2010,4/20/2010,1.44,1.23,0.21,17.0732,NVS
12/31/2009,1/26/2010,1.01,1.1,-0.09,-8.1818,NVS
9/30/2009,10/22/2009,0.92,0.95,-0.03,-3.1579,NVS
6/30/2009,7/16/2009,0.89,0.85,0.04,4.7059,NVS
3/31/2009,4/23/2009,0.87,0.87,0,0,NVS
12/31/2008,1/28/2009,0.66,0.79,-0.13,-16.4557,NVS
9/30/2008,10/20/2008,0.92,0.95,-0.03,-3.1579,NVS
6/30/2008,7/17/2008,0.98,0.93,0.05,5.3763,NVS
3/31/2008,4/21/2008,1.02,0.89,0.13,14.6067,NVS
12/31/2007,1/17/2008,0.4,0.73,-0.33,-45.2055,NVS
9/30/2007,10/18/2007,0.68,0.76,-0.08,-10.5263,NVS
6/30/2007,7/17/2007,0.83,0.78,0.05,6.4103,NVS
3/31/2007,4/23/2007,0.92,0.84,0.08,9.5238,NVS
12/31/2006,1/18/2007,0.7,0.78,-0.08,-10.2564,NVS
9/30/2006,10/19/2006,0.79,0.76,0.03,3.9474,NVS
6/30/2006,7/17/2006,0.73,0.79,-0.06,-7.5949,NVS
3/31/2006,4/24/2006,0.83,0.71,0.12,16.9014,NVS
12/31/2005,1/19/2006,0.58,0.71,-0.13,-18.3099,NVS
9/30/2005,10/18/2005,0.71,0.72,-0.01,-1.3889,NVS
6/30/2005,7/14/2005,0.7,0.66,0.04,6.0606,NVS
3/31/2005,4/21/2005,0.6345,None,None,None,NVS
12/31/2004,1/20/2005,0.56,0.6,-0.04,-6.6667,NVS
9/30/2004,10/21/2004,0.63,0.58,0.05,8.6207,NVS
6/30/2004,7/20/2004,0.63,0.59,0.04,6.7797,NVS
3/31/2004,4/22/2004,0.52,0.53,-0.01,-1.8868,NVS
12/31/2003,1/22/2004,0.55,0.53,0.02,3.7736,NVS
9/30/2003,10/20/2003,0.52,0.52,0,0,NVS
6/30/2003,7/21/2003,0.52,0.51,0.01,1.9608,NVS
3/31/2003,4/15/2003,0.43,0.46,-0.03,-6.5217,NVS
12/31/2002,1/23/2003,0.45,0.42,0.03,7.1429,NVS
9/30/2002,10/17/2002,0.4713,0.44,0.0313,7.1136,NVS
6/30/2002,6/30/2002,0.4888,None,None,None,NVS
3/31/2002,3/31/2002,0.4107,None,None,None,NVS
12/31/1997,3/17/1998,0.51,0.56,-0.05,-8.9286,NVS
6/30/1997,9/2/1997,0.79,0.79,0,0,NVS
3/31/1997,4/22/1997,0.52,0.45,0.07,15.5556,NVS
2/28/2023,3/2/2023,3.3,3.21,0.09,2.8037,COST
11/30/2022,12/8/2022,3.1,3.11,-0.01,-0.3215,COST
8/31/2022,9/22/2022,4.2,4.17,0.03,0.7194,COST
5/31/2022,5/31/2022,3.04,3.03,0.01,0.33,COST
2/28/2022,3/3/2022,2.92,2.74,0.18,6.5693,COST
11/30/2021,12/9/2021,2.98,2.64,0.34,12.8788,COST
8/31/2021,9/23/2021,3.9,3.57,0.33,9.2437,COST
2/28/2021,3/4/2021,2.14,2.45,-0.31,-12.6531,COST
11/30/2020,12/10/2020,2.3,2.05,0.25,12.1951,COST
8/31/2020,9/24/2020,3.04,2.84,0.2,7.0423,COST
2/29/2020,3/5/2020,2.1,2.06,0.04,1.9417,COST
11/30/2019,12/12/2019,1.73,1.72,0.01,0.5814,COST
8/31/2019,10/3/2019,2.69,2.54,0.15,5.9055,COST
2/28/2019,3/7/2019,2.01,1.69,0.32,18.9349,COST
11/30/2018,12/13/2018,1.61,1.62,-0.01,-0.6173,COST
8/31/2018,10/4/2018,2.36,2.36,0,0,COST
2/28/2018,3/7/2018,1.42,1.47,-0.05,-3.4014,COST
11/30/2017,12/14/2017,1.36,1.34,0.02,1.4925,COST
8/31/2017,10/5/2017,2.08,2.02,0.06,2.9703,COST
2/28/2017,3/2/2017,1.17,1.36,-0.19,-13.9706,COST
11/30/2016,12/7/2016,1.17,1.19,-0.02,-1.6807,COST
8/31/2016,9/29/2016,1.77,1.73,0.04,2.3121,COST
2/29/2016,3/2/2016,1.24,1.28,-0.04,-3.125,COST
11/30/2015,12/8/2015,1.09,1.17,-0.08,-6.8376,COST
8/31/2015,9/29/2015,1.73,1.66,0.07,4.2169,COST
2/28/2015,3/4/2015,1.25,1.18,0.07,5.9322,COST
11/30/2014,12/9/2014,1.12,1.09,0.03,2.7523,COST
8/31/2014,10/7/2014,1.58,1.52,0.06,3.9474,COST
2/28/2014,3/6/2014,1.05,1.17,-0.12,-10.2564,COST
11/30/2013,12/11/2013,0.96,1.02,-0.06,-5.8824,COST
8/31/2013,10/9/2013,1.4,1.46,-0.06,-4.1096,COST
2/28/2013,3/12/2013,1.1,1.06,0.04,3.7736,COST
11/30/2012,12/12/2012,0.95,0.93,0.02,2.1505,COST
8/31/2012,10/10/2012,1.39,1.31,0.08,6.1069,COST
2/29/2012,5/24/2012,0.88,0.87,0.01,1.1494,COST
11/30/2011,12/8/2011,0.8,0.8,0,0,COST
8/31/2011,10/5/2011,1.08,1.1,-0.02,-1.8182,COST
2/28/2011,3/2/2011,0.79,0.79,0,0,COST
11/30/2010,12/8/2010,0.71,0.69,0.02,2.8986,COST
8/31/2010,10/6/2010,0.97,0.95,0.02,2.1053,COST
2/28/2010,3/3/2010,0.7,0.72,-0.02,-2.7778,COST
11/30/2009,12/10/2009,0.6,0.6,0,0,COST
8/31/2009,10/7/2009,0.85,0.77,0.08,10.3896,COST
2/28/2009,3/4/2009,0.55,0.59,-0.04,-6.7797,COST
11/30/2008,12/11/2008,0.65,0.62,0.03,4.8387,COST
8/31/2008,10/8/2008,0.92,0.93,-0.01,-1.0753,COST
2/29/2008,3/5/2008,0.74,0.74,0,0,COST
11/30/2007,12/13/2007,0.59,0.59,0,0,COST
8/31/2007,10/10/2007,0.91,0.83,0.08,9.6386,COST
2/28/2007,3/8/2007,0.66,0.66,0,0,COST
11/30/2006,12/14/2006,0.51,0.5,0.01,2,COST
8/31/2006,10/12/2006,0.75,0.73,0.02,2.7397,COST
2/28/2006,3/2/2006,0.62,0.6,0.02,3.3333,COST
11/30/2005,12/8/2005,0.45,0.45,0,0,COST
8/31/2005,9/1/2005,0.66,0.65,0.01,1.5385,COST
2/28/2005,3/2/2005,0.54,0.55,-0.01,-1.8182,COST
11/30/2004,12/9/2004,0.4,0.4,0,0,COST
8/31/2004,10/7/2004,0.62,0.58,0.04,6.8966,COST
5/31/2004,6/17/2004,0.42,0.38,0.04,10.5263,COST
2/29/2004,3/3/2004,0.48,0.47,0.01,2.1277,COST
11/30/2003,12/9/2003,0.34,0.31,0.03,9.6774,COST
8/31/2003,10/8/2003,0.51,0.47,0.04,8.5106,COST
2/28/2003,3/5/2003,0.39,0.43,-0.04,-9.3023,COST
11/30/2002,12/12/2002,0.31,0.31,0,0,COST
8/31/2002,10/10/2002,0.52,0.49,0.03,6.1224,COST
2/28/2002,3/5/2002,0.41,0.41,0,0,COST
11/30/2001,12/13/2001,0.28,0.28,0,0,COST
8/31/2001,10/11/2001,0.41,0.4,0.01,2.5,COST
2/28/2001,3/8/2001,0.38,0.38,0,0,COST
11/30/2000,12/14/2000,0.28,0.28,0,0,COST
8/31/2000,10/12/2000,0.43,0.43,0,0,COST
2/29/2000,3/2/2000,0.41,0.38,0.03,7.8947,COST
11/30/1999,12/9/1999,0.28,0.27,0.01,3.7037,COST
8/31/1999,10/6/1999,0.4,0.38,0.02,5.2632,COST
3/31/2023,4/18/2023,0.94,0.82,0.12,14.6341,BAC
12/31/2022,1/13/2023,0.85,0.77,0.08,10.3896,BAC
9/30/2022,10/17/2022,0.81,0.77,0.04,5.1948,BAC
6/30/2022,7/18/2022,0.78,0.75,0.03,4,BAC
3/31/2022,4/18/2022,0.8,0.75,0.05,6.6667,BAC
12/31/2021,1/19/2022,0.82,0.76,0.06,7.8947,BAC
9/30/2021,10/14/2021,0.85,0.71,0.14,19.7183,BAC
6/30/2021,7/14/2021,0.8,0.77,0.03,3.8961,BAC
3/31/2021,4/15/2021,0.86,0.66,0.2,30.303,BAC
12/31/2020,1/19/2021,0.59,0.55,0.04,7.2727,BAC
9/30/2020,10/14/2020,0.51,0.49,0.02,4.0816,BAC
6/30/2020,7/16/2020,0.37,0.27,0.1,37.037,BAC
3/31/2020,4/15/2020,0.37,0.46,-0.09,-19.5652,BAC
12/31/2019,1/15/2020,0.75,0.68,0.07,10.2941,BAC
9/30/2019,10/16/2019,0.56,0.51,0.05,9.8039,BAC
6/30/2019,7/17/2019,0.75,0.71,0.04,5.6338,BAC
3/31/2019,4/16/2019,0.71,0.66,0.05,7.5758,BAC
12/31/2018,1/16/2019,0.7,0.63,0.07,11.1111,BAC
9/30/2018,10/15/2018,0.67,0.62,0.05,8.0645,BAC
6/30/2018,7/16/2018,0.64,0.57,0.07,12.2807,BAC
3/31/2018,4/16/2018,0.62,0.59,0.03,5.0847,BAC
12/31/2017,1/17/2018,0.48,0.44,0.04,9.0909,BAC
9/30/2017,10/13/2017,0.48,0.45,0.03,6.6667,BAC
6/30/2017,7/18/2017,0.46,0.43,0.03,6.9767,BAC
3/31/2017,4/18/2017,0.41,0.35,0.06,17.1429,BAC
12/31/2016,1/13/2017,0.41,0.38,0.03,7.8947,BAC
9/30/2016,10/17/2016,0.41,0.34,0.07,20.5882,BAC
6/30/2016,7/18/2016,0.37,0.33,0.04,12.1212,BAC
3/31/2016,4/14/2016,0.2,0.2,0,0,BAC
12/31/2015,1/19/2016,0.29,0.26,0.03,11.5385,BAC
9/30/2015,10/14/2015,0.34,0.33,0.01,3.0303,BAC
6/30/2015,7/15/2015,0.37,0.36,0.01,2.7778,BAC
3/31/2015,4/15/2015,0.3,0.29,0.01,3.4483,BAC
12/31/2014,1/15/2015,0.32,0.31,0.01,3.2258,BAC
9/30/2014,10/15/2014,-0.03,-0.09,0.06,66.6667,BAC
6/30/2014,7/16/2014,0.22,0.29,-0.07,-24.1379,BAC
3/31/2014,4/16/2014,0.1,0.05,0.05,100,BAC
12/31/2013,1/15/2014,0.29,0.26,0.03,11.5385,BAC
9/30/2013,10/16/2013,0.2,0.18,0.02,11.1111,BAC
6/30/2013,7/17/2013,0.32,0.25,0.07,28,BAC
3/31/2013,4/17/2013,0.2,0.22,-0.02,-9.0909,BAC
12/31/2012,1/17/2013,0.03,0.02,0.01,50,BAC
9/30/2012,10/17/2012,-0.0031,-0.07,0.0669,95.5714,BAC
6/30/2012,7/18/2012,0.17,0.14,0.03,21.4286,BAC
3/31/2012,4/19/2012,0.24,0.12,0.12,100,BAC
12/31/2011,1/19/2012,0.15,0.15,0,0,BAC
9/30/2011,10/18/2011,0.31,0.19,0.12,63.1579,BAC
6/30/2011,7/19/2011,-0.9,-0.9,0,0,BAC
3/31/2011,4/15/2011,0.17,0.27,-0.1,-37.037,BAC
12/31/2010,1/21/2011,0.04,0.14,-0.1,-71.4286,BAC
9/30/2010,10/19/2010,0.27,0.16,0.11,68.75,BAC
6/30/2010,7/16/2010,0.27,0.22,0.05,22.7273,BAC
3/31/2010,4/16/2010,0.28,0.09,0.19,211.1111,BAC
12/31/2009,1/20/2010,-0.6,-0.52,-0.08,-15.3846,BAC
9/30/2009,10/16/2009,-0.26,-0.21,-0.05,-23.8095,BAC
6/30/2009,7/17/2009,0.33,0.28,0.05,17.8571,BAC
3/31/2009,4/20/2009,0.44,0.05,0.39,780,BAC
12/31/2008,1/16/2009,-0.48,0.08,-0.56,-700,BAC
9/30/2008,10/6/2008,0.15,0.62,-0.47,-75.8065,BAC
6/30/2008,7/21/2008,0.72,0.53,0.19,35.8491,BAC
3/31/2008,4/21/2008,0.23,0.41,-0.18,-43.9024,BAC
12/31/2007,1/22/2008,0.05,0.18,-0.13,-72.2222,BAC
9/30/2007,10/18/2007,0.82,1.06,-0.24,-22.6415,BAC
6/30/2007,7/19/2007,1.28,1.2,0.08,6.6667,BAC
3/31/2007,4/19/2007,1.17,1.15,0.02,1.7391,BAC
12/31/2006,1/23/2007,1.19,1.18,0.01,0.8475,BAC
9/30/2006,10/19/2006,1.22,1.15,0.07,6.087,BAC
6/30/2006,7/19/2006,1.22,1.1,0.12,10.9091,BAC
3/31/2006,4/20/2006,1.08,1,0.08,8,BAC
12/31/2005,1/23/2006,0.94,1.02,-0.08,-7.8431,BAC
9/30/2005,10/19/2005,1.04,1.02,0.02,1.9608,BAC
6/30/2005,7/18/2005,1.08,1.01,0.07,6.9307,BAC
3/31/2005,4/18/2005,1.16,0.97,0.19,19.5876,BAC
12/31/2004,1/18/2005,0.94,0.94,0,0,BAC
9/30/2004,10/14/2004,0.91,0.9,0.01,1.1111,BAC
6/30/2004,7/14/2004,0.93,0.87,0.06,6.8966,BAC
3/31/2004,4/14/2004,0.92,0.89,0.03,3.3708,BAC
12/31/2003,1/15/2004,0.92,0.89,0.03,3.3708,BAC
9/30/2003,10/14/2003,0.96,0.85,0.11,12.9412,BAC
6/30/2003,7/14/2003,0.9,0.79,0.11,13.9241,BAC
3/31/2003,4/14/2003,0.8,0.74,0.06,8.1081,BAC
12/31/2002,1/15/2003,0.85,0.82,0.03,3.6585,BAC
9/30/2002,10/15/2002,0.73,0.71,0.02,2.8169,BAC
6/30/2002,7/15/2002,0.7,0.7,0,0,BAC
3/31/2002,4/15/2002,0.69,0.67,0.02,2.9851,BAC
12/31/2001,1/22/2002,0.64,0.62,0.02,3.2258,BAC
9/30/2001,10/15/2001,0.64,0.62,0.02,3.2258,BAC
6/30/2001,7/16/2001,0.62,0.59,0.03,5.0847,BAC
3/31/2001,4/16/2001,0.57,0.57,0,0,BAC
12/31/2000,1/16/2001,0.43,0.43,0,0,BAC
9/30/2000,10/16/2000,0.66,0.65,0.01,1.5385,BAC
6/30/2000,7/17/2000,0.62,0.62,0,0,BAC
3/31/2000,4/17/2000,0.67,0.62,0.05,8.0645,BAC
12/31/1999,1/18/2000,0.62,0.61,0.01,1.6393,BAC
9/30/1999,10/18/1999,0.62,0.6,0.02,3.3333,BAC
6/30/1999,7/19/1999,0.57,0.57,0,0,BAC
3/31/1999,4/19/1999,0.55,0.52,0.03,5.7692,BAC
12/31/1998,1/19/1999,0.46,0.46,0,0,BAC
9/30/1998,10/14/1998,0.25,0.43,-0.18,-41.8605,BAC
6/30/1998,7/13/1998,0.59,0.57,0.02,3.5088,BAC
3/31/1998,4/13/1998,0.59,0.53,0.06,11.3208,BAC
12/31/1997,1/12/1998,0.56,0.56,0,0,BAC
9/30/1997,10/14/1997,0.54,0.54,0,0,BAC
6/30/1997,7/14/1997,0.51,0.5,0.01,2,BAC
3/31/1997,4/14/1997,0.47,0.46,0.01,2.1739,BAC
12/31/1996,1/13/1997,0.54,0.53,0.01,1.8868,BAC
9/30/1996,10/15/1996,0.52,0.51,0.01,1.9608,BAC
6/30/1996,7/15/1996,0.5,0.49,0.01,2.0408,BAC
3/31/1996,4/15/1996,0.48,0.47,0.01,2.1277,BAC
3/31/2023,5/2/2023,1.23,0.98,0.25,25.5102,PFE
12/31/2022,1/31/2023,1.14,1.05,0.09,8.5714,PFE
9/30/2022,11/1/2022,1.78,1.39,0.39,28.0576,PFE
6/30/2022,7/28/2022,2.04,1.78,0.26,14.6067,PFE
3/31/2022,5/3/2022,1.67,1.47,0.2,13.6054,PFE
12/31/2021,2/8/2022,1.08,0.87,0.21,24.1379,PFE
9/30/2021,11/2/2021,1.34,1.09,0.25,22.9358,PFE
6/30/2021,7/28/2021,1.07,0.97,0.1,10.3093,PFE
3/31/2021,5/4/2021,0.93,0.77,0.16,20.7792,PFE
12/31/2020,2/2/2021,0.42,0.48,-0.06,-12.5,PFE
9/30/2020,10/27/2020,0.72,0.71,0.01,1.4085,PFE
6/30/2020,7/28/2020,0.78,0.66,0.12,18.1818,PFE
3/31/2020,4/28/2020,0.8,0.73,0.07,9.589,PFE
12/31/2019,1/28/2020,0.55,0.58,-0.03,-5.1724,PFE
9/30/2019,10/29/2019,0.75,0.62,0.13,20.9677,PFE
6/30/2019,7/29/2019,0.8,0.75,0.05,6.6667,PFE
3/31/2019,4/30/2019,0.85,0.75,0.1,13.3333,PFE
12/31/2018,1/29/2019,0.64,0.63,0.01,1.5873,PFE
9/30/2018,10/30/2018,0.78,0.75,0.03,4,PFE
6/30/2018,7/31/2018,0.81,0.74,0.07,9.4595,PFE
3/31/2018,5/1/2018,0.77,0.74,0.03,4.0541,PFE
12/31/2017,1/30/2018,0.62,0.56,0.06,10.7143,PFE
9/30/2017,10/31/2017,0.67,0.64,0.03,4.6875,PFE
6/30/2017,8/1/2017,0.67,0.66,0.01,1.5152,PFE
3/31/2017,5/2/2017,0.69,0.67,0.02,2.9851,PFE
12/31/2016,1/31/2017,0.47,0.5,-0.03,-6,PFE
9/30/2016,11/1/2016,0.61,0.62,-0.01,-1.6129,PFE
6/30/2016,8/2/2016,0.64,0.62,0.02,3.2258,PFE
3/31/2016,5/3/2016,0.67,0.55,0.12,21.8182,PFE
12/31/2015,2/2/2016,0.53,0.52,0.01,1.9231,PFE
9/30/2015,10/27/2015,0.6,0.51,0.09,17.6471,PFE
6/30/2015,7/28/2015,0.56,0.52,0.04,7.6923,PFE
3/31/2015,4/28/2015,0.51,0.49,0.02,4.0816,PFE
12/31/2014,1/27/2015,0.54,0.53,0.01,1.8868,PFE
9/30/2014,10/28/2014,0.57,0.55,0.02,3.6364,PFE
6/30/2014,7/29/2014,0.58,0.57,0.01,1.7544,PFE
3/31/2014,5/5/2014,0.57,0.55,0.02,3.6364,PFE
12/31/2013,1/28/2014,0.56,0.52,0.04,7.6923,PFE
9/30/2013,10/29/2013,0.58,0.56,0.02,3.5714,PFE
6/30/2013,7/30/2013,0.56,0.55,0.01,1.8182,PFE
3/31/2013,4/30/2013,0.54,0.55,-0.01,-1.8182,PFE
12/31/2012,1/29/2013,0.47,0.44,0.03,6.8182,PFE
9/30/2012,11/1/2012,0.53,0.53,0,0,PFE
6/30/2012,7/31/2012,0.62,0.54,0.08,14.8148,PFE
3/31/2012,5/1/2012,0.58,0.56,0.02,3.5714,PFE
12/31/2011,1/31/2012,0.5,0.47,0.03,6.383,PFE
9/30/2011,11/1/2011,0.62,0.56,0.06,10.7143,PFE
6/30/2011,8/2/2011,0.6,0.59,0.01,1.6949,PFE
3/31/2011,5/3/2011,0.6,0.59,0.01,1.6949,PFE
12/31/2010,2/1/2011,0.47,0.46,0.01,2.1739,PFE
9/30/2010,11/2/2010,0.54,0.51,0.03,5.8824,PFE
6/30/2010,8/3/2010,0.62,0.52,0.1,19.2308,PFE
3/31/2010,5/4/2010,0.6,0.53,0.07,13.2075,PFE
12/31/2009,2/3/2010,0.49,0.5,-0.01,-2,PFE
9/30/2009,10/20/2009,0.51,0.48,0.03,6.25,PFE
6/30/2009,7/22/2009,0.48,0.47,0.01,2.1277,PFE
3/31/2009,4/28/2009,0.54,0.49,0.05,10.2041,PFE
12/31/2008,1/26/2009,0.65,0.59,0.06,10.1695,PFE
9/30/2008,10/21/2008,0.62,0.6,0.02,3.3333,PFE
6/30/2008,7/23/2008,0.55,0.54,0.01,1.8519,PFE
3/31/2008,4/17/2008,0.61,0.66,-0.05,-7.5758,PFE
12/31/2007,1/23/2008,0.52,0.47,0.05,10.6383,PFE
9/30/2007,10/18/2007,0.58,0.53,0.05,9.434,PFE
6/30/2007,7/18/2007,0.42,0.5,-0.08,-16,PFE
3/31/2007,4/20/2007,0.68,0.57,0.11,19.2982,PFE
12/31/2006,1/22/2007,0.43,0.42,0.01,2.381,PFE
9/30/2006,10/19/2006,0.54,0.45,0.09,20,PFE
6/30/2006,7/20/2006,0.5,0.48,0.02,4.1667,PFE
3/31/2006,4/19/2006,0.61,0.53,0.08,15.0943,PFE
12/31/2005,1/19/2006,0.51,0.42,0.09,21.4286,PFE
9/30/2005,10/20/2005,0.51,0.48,0.03,6.25,PFE
6/30/2005,7/20/2005,0.46,0.44,0.02,4.5455,PFE
3/31/2005,4/19/2005,0.54,0.53,0.01,1.8868,PFE
12/31/2004,1/19/2005,0.58,0.59,-0.01,-1.6949,PFE
